Data;Energia elétrica - Consumo - região Sudeste (SE) - quantidade - GWh - Eletrobras - ELETRO12_CEESE12;
1979.01;5623;
1979.02;5551;
1979.03;5725;
1979.04;5797;
1979.05;6002;
1979.06;5988;
1979.07;6054;
1979.08;6022;
1979.09;6353;
1979.10;6144;
1979.11;6393;
1979.12;6337;
1980.01;6276;
1980.02;6239;
1980.03;6266;
1980.04;6393;
1980.05;6458;
1980.06;6559;
1980.07;6467;
1980.08;6879;
1980.09;6817;
1980.10;6800;
1980.11;7145;
1980.12;6636;
1981.01;7150;
1981.02;6563;
1981.03;6878;
1981.04;6527;
1981.05;6751;
1981.06;6464;
1981.07;6584;
1981.08;6813;
1981.09;6561;
1981.10;6599;
1981.11;6754;
1981.12;6452;
1982.01;6702;
1982.02;6354;
1982.03;6570;
1982.04;7255;
1982.05;6829;
1982.06;6998;
1982.07;7080;
1982.08;7275;
1982.09;7381;
1982.10;7189;
1982.11;7285;
1982.12;7046;
1983.01;7151;
1983.02;6860;
1983.03;6902;
1983.04;7659;
1983.05;7157;
1983.06;7804;
1983.07;7373;
1983.08;7400;
1983.09;7937;
1983.10;7694;
1983.11;7620;
1983.12;7547;
1984.01;7704;
1984.02;8008;
1984.03;8198;
1984.04;7815;
1984.05;8125;
1984.06;8342;
1984.07;8231;
1984.08;8550;
1984.09;8790;
1984.10;8307;
1984.11;9096;
1984.12;8463;
1985.01;8598;
1985.02;8665;
1985.03;8690;
1985.04;9170;
1985.05;8807;
1985.06;9039;
1985.07;8510;
1985.08;9359;
1985.09;9368;
1985.10;9098;
1985.11;9472;
1985.12;9080;
1986.01;9130;
1986.02;9104;
1986.03;8522;
1986.04;9014;
1986.05;9674;
1986.06;9406;
1986.07;9324;
1986.08;9912;
1986.09;9658;
1986.10;9716;
1986.11;10145;
1986.12;9251;
1987.01;9992;
1987.02;9074;
1987.03;9502;
1987.04;9227;
1987.05;9734;
1987.06;9219;
1987.07;9469;
1987.08;10006;
1987.09;9753;
1987.10;9785;
1987.11;10067;
1987.12;9589;
1988.01;10152;
1988.02;9761;
1988.03;9704;
1988.04;10320;
1988.05;9462;
1988.06;9791;
1988.07;9989;
1988.08;9882;
1988.09;10627;
1988.10;10388;
1988.11;9963;
1988.12;9994;
1989.01;9959;
1989.02;10238;
1989.03;9383;
1989.04;10604;
1989.05;9860;
1989.06;10300;
1989.07;10533;
1989.08;10365;
1989.09;11250;
1989.10;10540;
1989.11;10826;
1989.12;10268;
1990.01;10458;
1990.02;10754;
1990.03;10165;
1990.04;10492;
1990.05;9267;
1990.06;10046;
1990.07;9719;
1990.08;10303;
1990.09;11063;
1990.10;10377;
1990.11;11052;
1990.12;10204;
1991.01;9981;
1991.02;10236;
1991.03;9515;
1991.04;10133;
1991.05;10555;
1991.06;10763;
1991.07;10246;
1991.08;11126;
1991.09;11206;
1991.10;10855;
1991.11;11231;
1991.12;10628;
1992.01;10590;
1992.02;10610;
1992.03;10543;
1992.04;10259;
1992.05;10771;
1992.06;10425;
1992.07;10592;
1992.08;11027;
1992.09;10782;
1992.10;10744;
1992.11;11085;
1992.12;10403;
1993.01;10803;
1993.02;10371;
1993.03;10427;
1993.04;11516;
1993.05;10881;
1993.06;10949;
1993.07;10874;
1993.08;11267;
1993.09;11443;
1993.10;11170;
1993.11;11367;
1993.12;10898;
1994.01;10895;
1994.02;10773;
1994.03;10595;
1994.04;11432;
1994.05;10712;
1994.06;11242;
1994.07;10737;
1994.08;11028;
1994.09;11842;
1994.10;11695;
1994.11;11626;
1994.12;11552;
1995.01;11876;
1995.02;11914;
1995.03;11659;
1995.04;12243;
1995.05;11660;
1995.06;11737;
1995.07;11792;
1995.08;11777;
1995.09;12575;
1995.10;11981;
1995.11;12525;
1995.12;11987;
1996.01;11898;
1996.02;12372;
1996.03;12184;
1996.04;12618;
1996.05;12461;
1996.06;12617;
1996.07;12059;
1996.08;13114;
1996.09;12989;
1996.10;12927;
1996.11;13050;
1996.12;12798;
1997.01;13149;
1997.02;13216;
1997.03;12768;
1997.04;13040;
1997.05;13395;
1997.06;13096;
1997.07;13093;
1997.08;13654;
1997.09;13656;
1997.10;13869;
1997.11;14231;
1997.12;13513;
1998.01;14099;
1998.02;13559;
1998.03;13347;
1998.04;14114;
1998.05;13849;
1998.06;13229;
1998.07;13446;
1998.08;14101;
1998.09;14224;
1998.10;14133;
1998.11;13961;
1998.12;13509;
1999.01;13689;
1999.02;13409;
1999.03;13636;
1999.04;14678;
1999.05;13711;
1999.06;13902;
1999.07;13787;
1999.08;14129;
1999.09;14362;
1999.10;14218;
1999.11;14398;
1999.12;14117;
